domain	added	reason
google-analytics.com	2026-09-07	ad domain allowed via rule 5006
googlesyndication.com	2026-09-07	ad domain allowed via rule 5006
doubleclick.net	2026-09-07	ad domain allowed via rule 5006
googleadservices.com	2026-09-07	ad domain allowed via rule 5006
googletagmanager.com	2026-09-07	ad domain allowed via rule 5006
google.com	2026-09-07	ad domain allowed via rule 5006
bing.com	2026-09-07	ad domain allowed via rule 5006
secure-check.co	2026-09-07	ad domain allowed via rule 5006
gstatic.com	2026-09-07	ad domain allowed via rule 5006
clarity.ms	2026-09-07	ad domain allowed via rule 5006
microsoft.com	2026-09-07	ad domain allowed via rule 5006
doubleckick.net	2026-09-07	ad domain allowed via rule 5006
youtube.com	2026-09-07	ad domain allowed via rule 5006
xsearch4you.com	2026-09-07	ad domain allowed via rule 5006
syndicatedsearch.goog	2026-09-07	ad domain allowed via rule 5006
xg4ken.com	2026-09-07	ad domain allowed via rule 5006
bingads.com	2026-09-07	ad domain allowed via rule 5006
msftmodules.com	2026-09-07	ad domain allowed via rule 5006
yimg.com	2026-09-07	ad domain allowed via rule 5006
