domain	added	reason
ads.youtube.com	2026-09-07	org default block domain (was default_blockdom)
ssl.google-analytics.com	2026-09-07	org default block domain (was default_blockdom)
google-analytics.com	2026-09-07	org default block domain (was default_blockdom)
click.googleanalytics.com	2026-09-07	org default block domain (was default_blockdom)
analytics.google.com	2026-09-07	org default block domain (was default_blockdom)
afs.googlesyndication.com	2026-09-07	org default block domain (was default_blockdom)
pagead2.googleadservices.com	2026-09-07	org default block domain (was default_blockdom)
adservice.google.com	2026-09-07	org default block domain (was default_blockdom)
pagead2.googlesyndication.com	2026-09-07	org default block domain (was default_blockdom)
mediavisor.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
m.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
static.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
ad.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
stats.g.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
googlesyndication.com	2026-09-07	org default block domain (was default_blockdom)
tpc.googlesyndication.com	2026-09-07	org default block domain (was default_blockdom)
googleads.g.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
adclick.g.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
securepubads.g.doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
doubleclick.net	2026-09-07	org default block domain (was default_blockdom)
googleadservices.com	2026-09-07	org default block domain (was default_blockdom)
tolerancewarily.com	2026-09-07	org default block domain (was default_blockdom)
outlinediabase.com	2026-09-07	org default block domain (was default_blockdom)
