domain	added	reason
google.com	2026-09-07	initiator for rule 5006
search.yahoo.com	2026-09-07	initiator for rule 5006
propellerads.com	2026-09-07	initiator for rule 5006
syndicated.goog	2026-09-07	initiator for rule 5006
syndicatedsearch.goog	2026-09-07	initiator for rule 5006
sellbourne.com	2026-09-07	initiator for rule 5006
bing.com	2026-09-07	initiator for rule 5006
zurefy.com	2026-09-07	initiator for rule 5006
bestseminartopics.com	2026-09-07	initiator for rule 5006
review4.in	2026-09-07	initiator for rule 5006
customsearch.webshoppers.co	2026-09-07	initiator for rule 5006
trendingones.net	2026-09-07	initiator for rule 5006
methoo.com	2026-09-07	initiator for rule 5006
gazianteppsikolog.org	2026-09-07	initiator for rule 5006
nextgeeker.com	2026-09-07	initiator for rule 5006
tatuagenshd.com	2026-09-07	initiator for rule 5006
gadgetech.info	2026-09-07	initiator for rule 5006
ekisinibul.com	2026-09-07	initiator for rule 5006
google.fr	2026-09-07	initiator for rule 5006
google.co.uk	2026-09-07	initiator for rule 5006
google.ca	2026-09-07	initiator for rule 5006
google.de	2026-09-07	initiator for rule 5006
google.it	2026-09-07	initiator for rule 5006
google.es	2026-09-07	initiator for rule 5006
google.com.au	2026-09-07	initiator for rule 5006
google.co.in	2026-09-07	initiator for rule 5006
google.co.jp	2026-09-07	initiator for rule 5006
google.ru	2026-09-07	initiator for rule 5006
google.com.br	2026-09-07	initiator for rule 5006
google.com.mx	2026-09-07	initiator for rule 5006
google.co.za	2026-09-07	initiator for rule 5006
google.com.sg	2026-09-07	initiator for rule 5006
google.com.hk	2026-09-07	initiator for rule 5006
google.com.tw	2026-09-07	initiator for rule 5006
google.com.my	2026-09-07	initiator for rule 5006
google.co.id	2026-09-07	initiator for rule 5006
google.com.ph	2026-09-07	initiator for rule 5006
google.com.pk	2026-09-07	initiator for rule 5006
google.com.sa	2026-09-07	initiator for rule 5006
google.com.tr	2026-09-07	initiator for rule 5006
google.com.ar	2026-09-07	initiator for rule 5006
google.com.cl	2026-09-07	initiator for rule 5006
google.com.pe	2026-09-07	initiator for rule 5006
google.com.ve	2026-09-07	initiator for rule 5006
google.com.co	2026-09-07	initiator for rule 5006
google.com.ni	2026-09-07	initiator for rule 5006
google.com.uy	2026-09-07	initiator for rule 5006
google.com.bo	2026-09-07	initiator for rule 5006
google.com.pa	2026-09-07	initiator for rule 5006
google.com.ec	2026-09-07	initiator for rule 5006
google.com.do	2026-09-07	initiator for rule 5006
google.co	2026-09-07	initiator for rule 5006
google.com.lb	2026-09-07	initiator for rule 5006
google.com.jo	2026-09-07	initiator for rule 5006
google.com.qa	2026-09-07	initiator for rule 5006
google.com.kw	2026-09-07	initiator for rule 5006
google.com.om	2026-09-07	initiator for rule 5006
google.com.bh	2026-09-07	initiator for rule 5006
google.com.ae	2026-09-07	initiator for rule 5006
google.com.cu	2026-09-07	initiator for rule 5006
google.com.gi	2026-09-07	initiator for rule 5006
google.com.gg	2026-09-07	initiator for rule 5006
google.com.im	2026-09-07	initiator for rule 5006
google.com.je	2026-09-07	initiator for rule 5006
google.com.mt	2026-09-07	initiator for rule 5006
google.com.uz	2026-09-07	initiator for rule 5006
google.com.kz	2026-09-07	initiator for rule 5006
google.com.by	2026-09-07	initiator for rule 5006
google.com.md	2026-09-07	initiator for rule 5006
google.com.lv	2026-09-07	initiator for rule 5006
google.com.lt	2026-09-07	initiator for rule 5006
google.com.mk	2026-09-07	initiator for rule 5006
google.com.rs	2026-09-07	initiator for rule 5006
google.com.hr	2026-09-07	initiator for rule 5006
google.com.si	2026-09-07	initiator for rule 5006
google.com.bg	2026-09-07	initiator for rule 5006
google.com.ro	2026-09-07	initiator for rule 5006
google.com.ua	2026-09-07	initiator for rule 5006
google.com.am	2026-09-07	initiator for rule 5006
google.com.ge	2026-09-07	initiator for rule 5006
google.com.lu	2026-09-07	initiator for rule 5006
google.hu	2026-09-07	initiator for rule 5006
google.se	2026-09-07	initiator for rule 5006
google.com.py	2026-09-07	initiator for rule 5006
google.co.ma	2026-09-07	initiator for rule 5006
google.pl	2026-09-07	initiator for rule 5006
google.gr	2026-09-07	initiator for rule 5006
google.ch	2026-09-07	initiator for rule 5006
google.tt	2026-09-07	initiator for rule 5006
google.com.bd	2026-09-07	initiator for rule 5006
