domain	added	reason
cse.google.com	2026-09-07	scriptlet/CSS exempt when injection ON
partner.googleadservices.com	2026-09-07	scriptlet/CSS exempt when injection ON
adtrafficquality.google	2026-09-07	scriptlet/CSS exempt when injection ON
static.cloudflareinsights.com	2026-09-07	scriptlet/CSS exempt when injection ON
googletagmanager.com	2026-09-07	scriptlet/CSS exempt when injection ON
sellbourne.com	2026-09-07	scriptlet/CSS exempt when injection ON
nextgeeker.com	2026-09-07	scriptlet/CSS exempt when injection ON
tatuagenshd.com	2026-09-07	scriptlet/CSS exempt when injection ON
gadgetech.info	2026-09-07	scriptlet/CSS exempt when injection ON
ekisinibul.com	2026-09-07	scriptlet/CSS exempt when injection ON
google.com	2026-09-07	scriptlet/CSS exempt when injection ON
metager.de	2026-09-07	scriptlet/CSS exempt when injection ON
metager.org	2026-09-07	scriptlet/CSS exempt when injection ON
ogs.google.com	2026-09-07	scriptlet/CSS exempt when injection ON
clarity.ms	2026-09-07	scriptlet/CSS exempt when injection ON
google.fr	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.uk	2026-09-07	scriptlet/CSS exempt when injection ON
google.ca	2026-09-07	scriptlet/CSS exempt when injection ON
google.de	2026-09-07	scriptlet/CSS exempt when injection ON
google.it	2026-09-07	scriptlet/CSS exempt when injection ON
google.es	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.au	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.in	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.jp	2026-09-07	scriptlet/CSS exempt when injection ON
google.ru	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.br	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.mx	2026-09-07	scriptlet/CSS exempt when injection ON
google.co.za	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.sg	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.hk	2026-09-07	scriptlet/CSS exempt when injection ON
google.com.tw	2026-09-07	scriptlet/CSS exempt when injection ON
